yb_wl_corr,er_no_synchr,er_wl_corr,er_synch,yb_synch,yb_no_synch,yb_wl,er_wl,,
965.164061080629,-200.555179175112,1409.05772971891,-200.832992657183,-197.352000016508,-197.053156672853,973.620922678808,1434.21477476576,,
965.229472603166,-200.653111992001,1409.20584445007,-200.82236085003,-197.299465361434,-196.918669746431,973.677802263622,1434.33820370839,,
965.294891768917,-200.478974654031,1409.35398467701,-200.832216496512,-197.254507579604,-196.888903162757,973.73468849471,1434.46165389751,,
965.360318579225,-200.31864319734,1409.50215040632,-200.824627051328,-197.386185949936,-197.18684395849,973.791581373239,1434.5851253386,,
965.425753035429,-200.422064971181,1409.65034164459,-200.829342479561,-197.2961847927,-196.875753413035,973.848480900373,1434.70861803716,,
965.49119513887,-200.630821462843,1409.7985583984,-200.828369525956,-197.258015029567,-196.904816036099,973.905387077278,1434.83213199867,,
965.556644890887,-200.606855839583,1409.94680067436,-200.825791399377,-197.348979948916,-197.102598607744,973.962299905119,1434.95566722863,,
965.622102292823,-200.389953395477,1410.09506847904,-200.83192915585,-197.331262124963,-196.98759912805,974.019219385063,1435.07922373253,,
965.687567346018,-200.32862551403,1410.24336181904,-200.82326707585,-197.263955526384,-196.869506779679,974.076145518276,1435.20280151587,,
965.753040051813,-200.517651630794,1410.39168070097,-200.83375705129,-197.291121868918,-196.997159777808,974.133078305924,1435.32640058414,,
965.818520411552,-200.661704862813,1410.54002513142,-200.822974705384,-197.384975796274,-197.141371960102,974.190017749175,1435.45002094285,,
965.884008426574,-200.52297935732,1410.68839511699,-200.833115134935,-197.246275689012,-196.786957876763,974.246963849195,1435.57366259749,,
965.949504098225,-200.330549550447,1410.83679066428,-200.825096474126,-197.286713603778,-197.009213132621,974.303916607152,1435.69732555357,,
966.015007427846,-200.386415505814,1410.98521177992,-200.830386706492,-197.356968135195,-197.086137019898,974.360876024214,1435.8210098166,,
966.080518416782,-200.605951494176,1411.1336584705,-200.828741105241,-197.299136266096,-196.921150696963,974.417842101549,1435.94471539208,,
966.146037066374,-200.637857573352,1411.28213074261,-200.826871761047,-197.253027099903,-196.877524528691,974.474814840325,1436.06844228551,,
966.211563377966,-200.428863178231,1411.4306286029,-200.832365356792,-197.325487582556,-197.078504034224,974.531794241709,1436.19219050242,,
